title,company,degree,experience,max_salary(/month),min_salary(/month),place,title,CompanyType
Java/php开发工程师,金月汇大健康产业管理有限公司,中专,无工作经验,0.6,0.45,西安,Java/php开发工程师,民营
java开发工程师,北京中软国际信息技术有限公司,本科,无工作经验,1,0.8,西安-高新技术产业开发区,java开发工程师,合资        
Java高级开发工程师,中创三优（北京）科技有限公司,本科,5-7年经验,1.3,0.8,西安-高新技术产业开发区,Java高级开发工程师,合资        
中级JAVA工程师,西安银博科技有限责任公司,本科,3-4年经验,1.3,0.8,西安,中级JAVA工程师,国企       
JAVA PL工程师职位,西安安谷运合软件技术有限公司,本科,3-4年经验,1.4,0.7,西安,JAVA PL工程师职位,民营
Java研发工程师,深圳安道云科股份有限公司,本科,1年经验,0.8,0.6,西安-雁塔区,Java研发工程师(T3. 工程师) (职位编号：T3),民营
Java开发工程师,深圳震有科技股份有限公司,本科,2年经验,1.2,0.6,西安-高新技术产业开发区,Java开发工程师,民营
高级Java开发工程师,西安冠群信息技术有限公司,大专,5-7年经验,1.5,1,西安-雁塔区,高级Java开发工程师,上市
JAVA开发工程师,西安榴莲网络科技有限公司,本科,3-4年经验,1.5,1,西安-高新技术产业开发区,JAVA开发工程师,民营
java 软件开发工程师,西安同凯电子科技有限责任公司,本科,3-4年经验,0.7,0.4,西安-高新技术产业开发区,java 软件开发工程师,民营
零基础Java助理工程师,西安腾瑞信息科技有限公司,大专,无工作经验,0.8,0.3,西安,零基础Java助理工程师(高薪双休),民营
Java开发工程师,西安极数宝数据服务有限公司,本科,3-4年经验,1,0.4,西安,Java开发工程师,民营
Java高级工程师,华正云科（北京）信息技术有限公司,本科,3-4年经验,1.2,0.8,西安-经济技术开发区,Java高级工程师,民营
实习生-Java（储备岗）-接受转行,陕西西软智能科技有限责任公司,大专,无工作经验,0.6,0.3,西安-高新技术产业开发区,实习生-Java（储备岗）-接受转行,民营
JAVA软件工程师,陕西金开贷金融服务有限公司,本科,无工作经验,1.2,0.8,西安,JAVA软件工程师,国企     
Java高级开发工程师,陕西西建大聚慧软件科技有限公司,本科,5-7年经验,1.5,0.8,西安-碑林区,Java高级开发工程师,民营
Java中级软件工程师,西安途悦信息技术有限公司,本科,5-7年经验,0.9,0.7,西安-雁塔区,Java中级软件工程师,民营
JAVA项目经理,上海汇纳信息科技股份有限公司,本科,5-7年经验,1.5,1,西安,JAVA项目经理,上市
Java开发工程师,上海阅维信息科技有限公司,本科,3-4年经验,1.6,0.8,西安,Java开发工程师,民营
Java高级开发工程师,上海拓取网络信息服务有限公司,本科,5-7年经验,1.6,1.2,西安,Java高级开发工程师,民营
java高级软件工程师,西安驭思软件科技有限公司,本科,3-4年经验,0.8,0.6,西安,java高级软件工程师,民营
互联网软件开发带薪实习生,北京电商世纪科技有限公司,大专,无工作经验,0.6,0.45,西安,互联网软件开发带薪实习生（Java方向）,民营
java软件开发,西安亿才软件服务外包有限公司,大专,无工作经验,0.8,0.35,西安,java软件开发(理工类可无经验),民营
JAVA开发工程师 ,西安触角电子科技有限公司,大专,2年经验,0.6,0.45,西安-未央区,JAVA开发工程师 (职位编号：002),民营
java高级开发工程师,西安复观网络科技有限公司,大专,3-4年经验,1,0.6,西安,java高级开发工程师,上市
JAVA高级开发工程师,北京思诺博信息技术股份有限公司,本科,3-4年经验,1,0.8,西安,JAVA高级开发工程师,合资       
Java软件工程师,华软汇智（北京）国际软件技术研究院陕西分院,中专,无工作经验,0.8,0.6,西安,Java软件工程师,民营
JAVA工程师,西安数之元网络科技有限公司,本科,3-4年经验,0.7,0.4,西安-高新技术产业开发区,JAVA工程师,民营
高级Java软件工程师,北京北信源软件股份有限公司西安分公司,大专,5-7年经验,1.5,1,西安-雁塔区,高级Java软件工程师,民营
JAVA开发工程师(001258),东方网力科技股份有限公司,本科,5-7年经验,1.5,1,西安-雁塔区,JAVA开发工程师(001258) (职位编号：netposa001258),上市
java软件测试全职实习生,北京信都桥景科技有限公司,本科,无工作经验,0.3,0.2,西安-高新技术产业开发区,java软件测试全职实习生,民营
高级Java工程师,陕西万尚星软件科技有限公司,大专,无工作经验,1.5,1,西安-碑林区,高级Java工程师,民营
Java开发工程师,西安海博软件服务有限公司,本科,无工作经验,1.2,0.8,西安,Java开发工程师,外资（欧美）      
JAVA高级开发工程师,西安酷聊智能科技有限公司,本科,3-4年经验,1.5,0.9,西安-高新技术产业开发区,JAVA高级开发工程师,民营
诚聘java技术员,西安杰普林网络科技有限公司,大专,无工作经验,0.45,0.3,西安-雁塔区,诚聘java技术员,民营
java开发工程师,上海青乾科技有限公司,本科,2年经验,0.6,0.45,西安-雁塔区,java开发工程师,民营
Java开发工程师,西安宫氏云社网络科技有限公司,中专,3-4年经验,0.8,0.4,西安-高新技术产业开发区,Java开发工程师,民营
Java 架构师,西安开垦信息科技有限公司,大专,5-7年经验,2.6,1.5,西安-高新技术产业开发区,Java 架构师,民营
高级JAVA Web开发工程师,西安恒坐标教育科技集团有限公司,本科,3-4年经验,1.5,1,西安-雁塔区,高级JAVA Web开发工程师,民营
Java  Web开发工程师,西安轩承网络科技有限公司,本科,2年经验,1.2,0.6,西安-高新技术产业开发区,Java  Web开发工程师,民营
Java讲师(双休/带薪寒假/交五险),陕西厚溥教育科技有限公司,本科,2年经验,1,0.6,咸阳,Java讲师(双休/带薪寒假/交五险),民营
java高级开发工程师,西安众擎电子科技有限公司,本科,5-7年经验,1.5,1,西安,java高级开发工程师,民营
JAVA软件工程师,西安灵秀机电智能系统技术有限公司,本科,无工作经验,0.8,0.4,西安,JAVA软件工程师,民营
java中高级软件工程师,北京慧点科技有限公司,本科,5-7年经验,1.5,1,西安,java中高级软件工程师,国企   
JAVA开发工程师,西安环太科技发展有限公司,中专,无工作经验,0.6,0.45,西安-高新技术产业开发区,JAVA开发工程师,民营
Java高级开发工程师,西安图迹信息科技有限公司,本科,5-7年经验,1.5,0.8,西安-高新技术产业开发区,Java高级开发工程师,民营
Java开发工程师（西安）,深圳市蓝凌软件股份有限公司,大专,3-4年经验,1,0.8,西安,Java开发工程师（西安）,上市
中级Java开发工程师 (职位编号：XAHZ2015001),西安汇正信息科技有限公司,大专,3-4年经验,0.8,0.6,西安-高新技术产业开发区,中级Java开发工程师 (职位编号：XAHZ2015001),民营
Java开发工程师,海南尚品易购电子商务有限公司,中专,无工作经验,0.8,0.6,西安,Java开发工程师,民营
Java开发工程师,海南尚品易购电子商务有限公司,中专,无工作经验,0.8,0.6,西安,Java开发工程师,民营
Java讲师（年薪15-20万）双休,西安雁塔兆隆计算机培训中心,本科,1年经验,2,1.5,西安,Java讲师（年薪15-20万）双休,民营
java开发（西安）,上海易宝软件有限公司杭州分公司,本科,无工作经验,1,0.8,西安,java开发（西安）,上市
Java开发实习生,西安尚观锦程网络科技有限公司,中专,无工作经验,0.45,0.3,西安-高新技术产业开发区,Java开发实习生,民营
JAVA讲师,华育国际教育集团西安分公司,大专,无工作经验,2,1.5,西安,JAVA讲师,民营
大数据JAVA开发工程师,通联商务服务有限公司,本科,3-4年经验,1.5,1,西安-新城区,大数据JAVA开发工程师,民营
Java软件开发工程师,西安融科通信技术有限公司,本科,2年经验,0.8,0.6,西安,Java软件开发工程师,民营
高级java开发工程师 (职位编号：219368498013108),文思海辉技术有限公司Pactera Technology International Limited,本科,5-7年经验,1.5,1,西安,高级java开发工程师 (职位编号：219368498013108),外资（欧美）       
软件研发经理（JAVA）,西安银创多媒体有限责任公司,本科,5-7年经验,1.5,1,西安,软件研发经理（JAVA）,民营
急聘初级java开发工程师,西安泰晟信息科技有限公司,大专,2年经验,0.9,0.6,兰州,急聘初级java开发工程师,民营
JAVA开发（中级）,西安美齐电子商务有限公司,大专,3-4年经验,1.3,0.6,西安-经济技术开发区,JAVA开发（中级）,民营
